replicate_num,horm_conc,Cell Cycle Stage,Moth_ID,Position_n,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_42,0,ASY39-1_0nM-43,2020/07/28 10:51:57.857,0.0,8528.0,38.56841300000001,0.5702448904437488,365730.6583062576,111.23417388395409,0.514833625119569,S,-1,1,10851,17.176013990625002,0,3,mother,3,0,0.1238322054872699,0.2883660413315877,,1028.043137254902,2021/11/18 10:22:10.505
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_45,0,ASY39-1_0nM-46,2020/07/28 10:55:04.601,0.0,10692.0,48.355238250000006,0.3498295669738669,517808.2570274096,157.48740881466478,0.2592687242922752,S,-1,7,29339,46.440611415625,0,5,mother,1,0,0.0537448301056941,0.152381510100148,43.31437578488945,802.5843137254899,2021/11/18 10:22:26.641
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_46,0,ASY39-1_0nM-47,2020/07/28 10:56:22.852,0.0,8576.0,38.78549600000001,0.5837488457987073,388139.14422888425,118.04954296221806,0.4358988612670043,S,-1,4,23326,36.92265250625,0,4,mother,1,0,0.0730465003365772,0.1837728888256653,,1122.6470588235293,2021/11/18 10:22:31.948
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_49,0,ASY39-1_0nM-50,2020/07/28 10:59:30.115,0.0,10838.0,49.01553237500001,0.5580793559516963,580094.2960712363,176.43122973913884,0.4217170804777987,S,-1,10,29982,47.45841410625,0,2,mother,3,0,0.0733530441194446,0.1090309057924161,23.003492199799627,1792.556862745098,2021/11/18 10:22:48.501
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_5,0,ASY39-1_0nM-06,2020/07/28 09:22:11.066,0.0,10260.0,46.40149125,0.153068105192178,593686.5795300824,180.56521847484728,0.0665441412179069,S,-1,5,22080,34.950363,0,7,mother,3,0,0.1010213902988942,0.1194262270773844,,1620.301960784314,2021/11/18 10:19:07.859
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_50,0,ASY39-1_0nM-51,2020/07/28 11:00:22.323,0.0,9474.0,42.84675712500001,0.3594489883770986,499271.5439737736,151.84960975074688,0.218764543770046,S,-1,2,19317,30.576818934375,0,5,mother,4,0,0.1073088103193322,0.18124952636007,2.4139115500214694,1538.9058823529413,2021/11/18 10:22:53.745
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_51,0,ASY39-1_0nM,2020/07/28 09:10:09.186,0.0,8967.0,40.5538179375,0.3179012345679012,443569.010426116,134.90811151510133,0.1895613118045745,S,-1,3,21248,33.6333928,0,5,mother,3,0,0.0795063437832848,0.2040607907664848,24.479905538857874,960.6117647058824,2021/11/18 10:22:58.681
2020-07-28_ASY39-1_1,SCD_0nM,S,3,Position_19,0,ASY39-1_0nM-20,2020/07/28 09:43:06.410,0.0,6828.0,30.88005675,0.4275559272423165,280058.2153018576,85.17755761243949,0.3014970392629132,S,-1,2,16495,26.109883953125,0,7,mother,2,0,0.0726222460652089,0.169010012321399,,746.5372549019606,2021/11/18 10:20:22.138
2020-07-28_ASY39-1_1,SCD_0nM,S,3,Position_36,0,ASY39-1_0nM-37,2020/07/28 10:44:37.520,0.0,8084.0,36.56039525,0.7627562145660707,347089.16106786707,105.56450551413424,0.6756231503210647,S,-1,2,16372,25.9151876375,0,5,mother,2,0,0.0748097839561856,0.1723595876086375,,1020.7686274509804,2021/11/18 10:21:46.694
2020-07-28_ASY39-1_1,SCD_0nM,S,3,Position_39,0,ASY39-1_0nM-40,2020/07/28 10:48:49.322,0.0,5476.0,24.76555225000001,0.7562540089801154,211574.3637427908,64.348719560298,0.6629563430536458,S,-1,2,9970,15.78148184375,0,4,mother,2,0,0.1550603343890838,0.2270717147849197,,1482.3843137254898,2021/11/18 10:21:59.636
2020-07-28_ASY39-1_1,SCD_0nM,S,3,Position_4,0,ASY39-1_0nM-05,2020/07/28 09:20:54.873,0.0,5610.0,25.37157562500001,0.2899517130374799,240656.607628306,73.19386092273764,0.1566003677647811,S,-1,1,11123,17.606561940625,0,2,mother,1,0,0.2337270176316407,0.3108106907946649,,2154.360784313725,2021/11/18 10:19:02.026
2020-07-28_ASY39-1_1,SCD_0nM,S,3,Position_40,0,ASY39-1_0nM-41,2020/07/28 10:49:56.511,0.0,7795.0,35.2533746875,0.3388869804191,386296.1266719847,117.48900331168734,0.2000793021933918,S,-1,0,12139,19.214785165625,0,4,mother,2,0,0.0,0.1568441297359548,,,2021/11/18 10:22:02.978
2020-07-28_ASY39-1_1,SCD_0nM,S,3,Position_41,0,ASY39-1_0nM-42,2020/07/28 10:50:51.316,0.0,7711.0,34.8734794375,0.3868705035971223,349218.8359733031,106.21222979802296,0.254575843846634,S,-1,1,12032,19.0454152,0,4,mother,2,0,0.1744158749821891,0.26523832918176,,1688.1921568627454,2021/11/18 10:22:07.028
