medium,ploidy,replicate,exp_folder,Position_n,Cell_ID,category,mKate_stain_index,mNeon_inside_cell_stain_index
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_6,2,SCD,2.91180089222849,2.19237459665729
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_7,1,SCD,3.244276535766841,2.3389058993798195
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_7,2,SCD,2.919239238159628,3.0760228976013035
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_8,2,SCD,2.942460895305108,3.366555949695144
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_8,4,SCD,2.531937096508996,3.070323702070568
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_9,1,SCD,2.627266217574497,2.412796951630317
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_10,2,SCD,2.997941962853249,3.591264567530484
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_10,4,SCD,3.3385851319672746,3.6488107718361458
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_11,1,SCD,2.94840394129574,2.788488344581032
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_12,1,SCD,2.6988831080690265,2.724540585088795
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_12,2,SCD,3.102713709393648,2.800915935224154
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_13,2,SCD,3.3422674723717054,2.031775560783004
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_13,3,SCD,3.973765184281896,3.030622704620922
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_14,1,SCD,2.5973335355330915,3.069142850943624
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_14,2,SCD,2.948343910335743,2.64730231015934
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_15,1,SCD,3.385825388807673,2.3251735055217595
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_15,2,SCD,3.64495738099456,2.8034031510392765
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_16,2,SCD,3.7806703238280415,3.18701508657627
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_16,4,SCD,2.7975289421862897,2.704935608785733
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_17,2,SCD,2.485547228623712,2.873343751466519
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_17,3,SCD,2.51936690835342,3.115982846357972
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_18,1,SCD,2.751584086619315,3.0827006446618985
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_19,2,SCD,2.722141809614522,2.5331334452341654
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_19,3,SCD,3.36985171553492,3.870126785360226
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_20,1,SCD,2.853342069931546,3.2836026429500453
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_20,2,SCD,3.0818188719296984,4.551532901986731
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_21,1,SCD,2.9112915082704283,2.9468637191971574
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_22,1,SCD,2.751986623754707,2.2922627227965173
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_22,2,SCD,2.939164196151351,2.51976493076139
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_23,1,SCD,2.7037318586625725,2.5760567369254184
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_24,2,SCD,2.756336238348757,2.8482270927641222
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_24,3,SCD,3.154454020107826,3.202976395369943
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_25,2,SCD,2.638415348683632,2.4925395510974075
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_25,3,SCD,2.568203107011689,2.876332056410406
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_26,1,SCD,3.248819855565549,3.374742425494833
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_26,2,SCD,3.2345582339165424,2.800641463494435
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_27,2,SCD,3.171260819459605,3.228027004307405
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_27,3,SCD,3.1300236749289296,2.7884649032022466
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_28,1,SCD,2.974724029215662,3.2837586365205795
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_28,2,SCD,2.738853502634298,2.880012829699022
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_29,1,SCD,2.524202926812789,3.036178600095868
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_29,2,SCD,2.8606145080688505,3.222896391168575
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_30,1,SCD,2.76740841990832,2.828517319617097
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_30,2,SCD,3.121897357592568,3.4813936817852253
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_31,1,SCD,2.840177960637277,2.417853720202064
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_31,2,SCD,3.721274838142699,2.2192913518956767
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_32,2,SCD,2.911456476297281,2.9824081710511403
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_32,3,SCD,3.0958453384328823,3.2003117979865934
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_33,1,SCD,2.695132937582476,2.03080622923307
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_33,2,SCD,3.00328171106163,2.437168282601603
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_34,2,SCD,3.159281293383997,3.028969326954287
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_34,3,SCD,3.453157630574164,3.7439484546553135
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_35,1,SCD,2.7866976909325287,2.8254496118151646
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_35,2,SCD,3.199270966809625,2.9382284774438445
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_36,2,SCD,2.8933110659065635,2.714650949875125
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_36,3,SCD,3.289705641375062,2.4350443373324158
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_37,1,SCD,2.6016689130312094,2.58977493159824
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_37,3,SCD,3.505551366792864,2.3609612319396507
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_38,1,SCD,2.973278810922156,3.05873430410957
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_38,2,SCD,2.5943302522778056,2.519433014309033
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_39,1,SCD,2.7859357097193858,2.5095498483301464
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_39,2,SCD,3.4207303463589143,3.8958040701644494
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_40,1,SCD,3.24747987960354,2.8458259470000136
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_40,2,SCD,3.2855394136883023,2.771998343299878
